epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,429.668,0.55143,0.42432,0.97078,0.97183,0.90067,0.97898,0.78852,0.73124,0.42366,0.8206,0.00102667,0.00102667,0.00102667
99,434.055,0.54754,0.43595,0.97721,0.96735,0.84514,0.92512,0.7663,0.66694,0.5042,0.83864,0.00102007,0.00102007,0.00102007
100,438.593,0.54801,0.42942,0.97161,0.96701,0.8849,0.96776,0.79936,0.63937,0.43687,0.81655,0.00101347,0.00101347,0.00101347
101,442.734,0.56359,0.4348,0.97318,0.95695,0.88756,0.96501,0.84101,0.5293,0.40343,0.78997,0.00100687,0.00100687,0.00100687
102,447.269,0.5619,0.42994,0.97427,0.94316,0.93538,0.98144,0.80471,0.7271,0.39876,0.80285,0.00100027,0.00100027,0.00100027
103,451.563,0.54466,0.42491,0.96937,0.95577,0.91141,0.97298,0.74309,0.88579,0.46241,0.85079,0.000993665,0.000993665,0.000993665
104,455.796,0.54031,0.42637,0.96605,0.94497,0.89888,0.9727,0.81773,0.59715,0.41918,0.80161,0.000987064,0.000987064,0.000987064
105,460.154,0.55272,0.42216,0.97498,0.96045,0.88814,0.97068,0.76958,0.77317,0.43835,0.83044,0.000980463,0.000980463,0.000980463
106,464.587,0.55421,0.42525,0.97306,0.94781,0.90795,0.96809,0.75753,0.75481,0.44315,0.86917,0.000973861,0.000973861,0.000973861
107,468.752,0.54206,0.42421,0.96587,0.9605,0.91711,0.98063,0.85964,0.51641,0.37188,0.7703,0.00096726,0.00096726,0.00096726
108,473.263,0.54146,0.42832,0.96918,0.9631,0.91577,0.98062,0.84152,0.58055,0.36801,0.80132,0.000960659,0.000960659,0.000960659
109,477.678,0.55012,0.42092,0.97129,0.96468,0.91711,0.98304,0.79703,0.71891,0.39774,0.80401,0.000954057,0.000954057,0.000954057
110,482.063,0.52897,0.41043,0.9621,0.95598,0.93274,0.98245,0.78924,0.77153,0.40178,0.80935,0.000947456,0.000947456,0.000947456
111,486.426,0.5469,0.4239,0.96592,0.95812,0.90598,0.97606,0.82341,0.62347,0.40196,0.8062,0.000940855,0.000940855,0.000940855
112,490.825,0.55111,0.42778,0.96968,0.9552,0.91584,0.97837,0.82564,0.62431,0.39373,0.79675,0.000934253,0.000934253,0.000934253
113,495.244,0.53227,0.42732,0.96574,0.94709,0.91895,0.97631,0.85211,0.5052,0.38061,0.78015,0.000927652,0.000927652,0.000927652
114,499.502,0.53334,0.42258,0.96528,0.96325,0.9236,0.98341,0.82826,0.64239,0.37267,0.79416,0.000921051,0.000921051,0.000921051
115,503.694,0.5355,0.41544,0.96371,0.95707,0.91376,0.9777,0.86641,0.47552,0.35997,0.78501,0.00091445,0.00091445,0.00091445
116,508.168,0.52696,0.41611,0.96128,0.95354,0.92013,0.98046,0.83318,0.60723,0.3768,0.77441,0.000907848,0.000907848,0.000907848
117,512.316,0.527,0.40838,0.96111,0.96055,0.92315,0.98325,0.77456,0.85635,0.4182,0.82787,0.000901247,0.000901247,0.000901247
118,516.881,0.51822,0.40312,0.96219,0.95115,0.90827,0.97141,0.81568,0.6343,0.39775,0.79031,0.000894646,0.000894646,0.000894646
119,521.026,0.51443,0.41259,0.96184,0.95132,0.9198,0.97978,0.8076,0.68852,0.40009,0.80038,0.000888044,0.000888044,0.000888044
120,525.363,0.52069,0.40933,0.96416,0.97186,0.93054,0.98675,0.84644,0.57799,0.36403,0.77905,0.000881443,0.000881443,0.000881443
